shipdate,productid,orderid,totalprice,PRODUCTID,PRODUCTGROUPNAME,campaignid,shipyear,freeshippingflag,channel,log_totalprice
2012-01-05 00:00:00,11093,1064316,34.95,11093,OCCASION,2236,2012,N,WEB,3.5539184686798193
2013-09-12 00:00:00,11105,1105021,15.95,11105,OCCASION,2236,2013,N,WEB,2.7694588292308535
2011-08-24 00:00:00,11092,1049353,34.95,11092,OCCASION,2141,2011,N,PARTNER,3.5539184686798193
2010-12-17 00:00:00,11081,1022172,0.0,11081,OCCASION,2190,2010,N,MAIL,-inf
2015-11-02 00:00:00,11061,1416219,25.0,11061,OCCASION,2236,2015,N,WEB,3.2188758248682006
2014-12-02 00:00:00,12851,1182072,25.95,12851,OCCASION,2236,2014,N,WEB,3.2561716096118976
2011-10-30 00:00:00,11088,1073873,19.57,11088,OCCASION,2173,2011,N,AD,2.9739977814079848
2011-05-23 00:00:00,11088,1039677,19.57,11088,OCCASION,2173,2011,N,AD,2.9739977814079848
2016-07-14 00:00:00,13999,1597176,2.5,13999,OCCASION,2204,2016,N,REFERRAL,0.9162907318741551
2016-07-05 00:00:00,13924,1591317,45.9,13924,OCCASION,2146,2016,Y,AD,3.8264651170664994
2015-02-02 00:00:00,12849,1229019,25.95,12849,OCCASION,2173,2015,N,AD,3.2561716096118976
2015-10-11 00:00:00,11075,1401122,17.05,11075,OCCASION,2141,2015,N,PARTNER,2.8361502037295256
2013-12-23 00:00:00,11089,1101999,0.0,11089,OCCASION,2236,2013,N,WEB,-inf
2014-10-21 00:00:00,12849,1151443,20.76,12849,OCCASION,2076,2014,Y,AD,3.033028058297688
2014-06-24 00:00:00,12139,1119713,23.35,12139,OCCASION,2141,2014,N,PARTNER,3.150596984114906
2013-01-25 00:00:00,11097,1079379,18.51,11097,OCCASION,2236,2013,N,WEB,2.9183111265854063
2014-12-02 00:00:00,12851,1182029,25.95,12851,OCCASION,2236,2014,N,WEB,3.2561716096118976
2013-07-03 00:00:00,11098,1092091,29.95,11098,OCCASION,2173,2013,N,AD,3.3995293245614584
2012-07-23 00:00:00,11088,1066858,10.0,11088,OCCASION,2236,2012,N,WEB,2.302585092994046
2014-06-25 00:00:00,12139,1120066,23.35,12139,OCCASION,2141,2014,N,PARTNER,3.150596984114906
2014-07-22 00:00:00,12139,1122759,23.35,12139,OCCASION,2141,2014,N,PARTNER,3.150596984114906
2014-07-18 00:00:00,12137,1121299,54.95,12137,OCCASION,2236,2014,N,WEB,4.006423680849631
2014-11-13 00:00:00,12851,1166323,23.35,12851,OCCASION,2141,2014,N,PARTNER,3.150596984114906
2015-08-02 00:00:00,12851,1354154,20.76,12851,OCCASION,2033,2015,N,PARTNER,3.033028058297688
2013-01-03 00:00:00,11105,1069270,8.0,11105,OCCASION,2236,2013,N,WEB,2.0794415416798357
2010-06-10 00:00:00,11078,1007305,19.68,11078,OCCASION,2173,2010,N,AD,2.9796028916241073
2012-04-17 00:00:00,11093,1053673,31.45,11093,OCCASION,2141,2012,N,PARTNER,3.4483989831464497
2015-11-30 00:00:00,12174,1436198,23.35,12174,OCCASION,2141,2015,N,PARTNER,3.150596984114906
2014-10-21 00:00:00,12174,1151298,19.91,12174,OCCASION,2076,2014,Y,AD,2.991222118076105
2013-06-19 00:00:00,11105,1089656,15.95,11105,OCCASION,2236,2013,N,WEB,2.7694588292308535
2016-04-08 00:00:00,11089,1530128,17.05,11089,OCCASION,2141,2016,N,PARTNER,2.8361502037295256
2012-09-19 00:00:00,11089,1044506,18.51,11089,OCCASION,2173,2012,N,AD,2.9183111265854063
2015-12-01 00:00:00,13557,1437251,25.95,13557,OCCASION,2236,2015,N,WEB,3.2561716096118976
2012-12-17 00:00:00,11105,1063937,24.0,11105,OCCASION,2236,2012,N,WEB,3.1780538303479458
2012-12-13 00:00:00,11105,1059810,8.0,11105,OCCASION,2236,2012,N,WEB,2.0794415416798357
