polar,channel,orderyear,TotalSpent
S,CATALOG,2013,0.0
S,CONFERENCE,2013,100.0
S,EMAIL,2013,0.0
S,EMPLOYEE,2013,31.825
S,INSERT,2013,11.47329317269077
S,INTERNAL,2013,0.0
S,MAIL,2013,0.0
S,PARTNER,2013,31.702540581012272
S,REFERRAL,2013,3.4276315789473686
S,WEB,2013,35.1369047324452
SSW,AD,2013,34.49032258064516
SSW,EMPLOYEE,2013,8.486666666666666
SSW,INSERT,2013,7.7875
SSW,MAIL,2013,0.0
SSW,PARTNER,2013,2.7424999999999997
SSW,REFERRAL,2013,0.0
SSW,WEB,2013,22.554830508474577
SW,AD,2013,2.7803571428571425
SW,EMPLOYEE,2013,0.0
SW,INSERT,2013,9.957407407407407
SW,MAIL,2013,0.0
SW,PARTNER,2013,23.30442307692308
SW,REFERRAL,2013,0.0
SW,WEB,2013,10.835522598870057
WSW,AD,2013,23.03629300291546
WSW,BULK,2013,0.0
WSW,CATALOG,2013,0.0
WSW,EMAIL,2013,0.0
WSW,EMPLOYEE,2013,0.0
WSW,INSERT,2013,9.821673525377232
WSW,MAIL,2013,0.0
WSW,PARTNER,2013,48.785234182916206
WSW,REFERRAL,2013,4.38125
WSW,WEB,2013,46.33677287014538
W,AD,2013,23.671910457516358
W,BULK,2013,0.0
W,CATALOG,2013,0.0
W,EMAIL,2013,0.0
W,EMPLOYEE,2013,0.0
W,INSERT,2013,10.040380116959069
W,MAIL,2013,0.0
W,PARTNER,2013,37.564214158264434
W,REFERRAL,2013,9.691304347826089
W,WEB,2013,39.025427011011
WNW,AD,2013,24.482276785714276
WNW,BULK,2013,0.0
WNW,CATALOG,2013,0.0
WNW,EMAIL,2013,0.0
WNW,EMPLOYEE,2013,0.0
WNW,INSERT,2013,10.261688311688323
WNW,MAIL,2013,0.0
WNW,PARTNER,2013,31.90150637755103
WNW,REFERRAL,2013,1.3298387096774194
WNW,WEB,2013,32.80657590200905
NW,AD,2013,23.82730769230769
NW,CATALOG,2013,0.0
NW,EMAIL,2013,0.0
NW,INSERT,2013,8.7375
NW,MAIL,2013,0.0
NW,PARTNER,2013,10.676666666666668
NW,REFERRAL,2013,0.0
NW,WEB,2013,9.441128205128205
NNW,AD,2013,12.104883720930232
NNW,BULK,2013,0.0
NNW,CATALOG,2013,0.0
NNW,INSERT,2013,10.825
NNW,MAIL,2013,0.0
NNW,PARTNER,2013,11.359666666666666
NNW,REFERRAL,2013,0.0
NNW,WEB,2013,11.706413194444444
N,AD,2014,21.090828189300414
N,CATALOG,2014,95.29
N,EMAIL,2014,51.95
N,EMPLOYEE,2014,3.11875
N,INSERT,2014,14.753010752688173
N,INTERNAL,2014,0.0
N,MAIL,2014,2.635217391304348
N,PARTNER,2014,36.535254134924394
N,REFERRAL,2014,17.05625
N,WEB,2014,33.90575962815403
NNE,AD,2014,22.236292227204782
NNE,BULK,2014,0.0
NNE,CATALOG,2014,27.187500000000004
NNE,EMAIL,2014,28.475
NNE,EMPLOYEE,2014,14.855
NNE,INSERT,2014,8.851792452830187
NNE,MAIL,2014,7.823076923076922
NNE,PARTNER,2014,36.72420232112945
NNE,REFERRAL,2014,13.486666666666666
NNE,WEB,2014,34.54441374832069
NE,AD,2014,20.357047938712558
NE,BULK,2014,0.0
NE,CATALOG,2014,58.51552380952381
NE,CONFERENCE,2014,0.0
NE,EMAIL,2014,16.692999999999998
NE,EMPLOYEE,2014,17.506153846153843
NE,INSERT,2014,15.996344178082174
NE,MAIL,2014,7.873851851851852
NE,PARTNER,2014,30.38096691624814
NE,REFERRAL,2014,30.791249999999994
NE,WEB,2014,32.12901097751213
ENE,AD,2014,32.48870354631275
ENE,BULK,2014,52.941375319942736
ENE,CATALOG,2014,64.24892464678182
ENE,EMAIL,2014,69.21882352941175
ENE,EMPLOYEE,2014,17.79094039735099
ENE,INSERT,2014,15.057712591470965
ENE,INTERNAL,2014,0.0
ENE,MAIL,2014,15.158445558739249
ENE,PARTNER,2014,45.87930280358137
ENE,REFERRAL,2014,16.74512672811057
ENE,SURVEY,2014,0.0
ENE,WEB,2014,51.18669492509779
E,AD,2014,25.26784410774413
E,BULK,2014,1.625
E,CATALOG,2014,20.874285714285712
E,CONFERENCE,2014,0.0
E,EMAIL,2014,23.825
E,EMPLOYEE,2014,1.7476470588235296
E,INSERT,2014,18.404101449275363
E,INTERNAL,2014,0.0
E,MAIL,2014,8.190948275862068
E,PARTNER,2014,28.08217346857836
E,REFERRAL,2014,17.977635135135138
E,WEB,2014,26.56347367124821
ESE,AD,2014,28.019186208821935
ESE,BULK,2014,0.0
ESE,CATALOG,2014,101.84947368421055
ESE,EMAIL,2014,55.11666666666666
ESE,EMPLOYEE,2014,42.05764705882353
ESE,INSERT,2014,11.365497665732962
ESE,MAIL,2014,5.057522935779816
ESE,PARTNER,2014,34.55687569748253
ESE,REFERRAL,2014,17.304419642857148
ESE,WEB,2014,35.128981220506304
SE,AD,2014,12.923863636363642
SE,INSERT,2014,18.150972222222222
SE,MAIL,2014,0.0
SE,PARTNER,2014,68.02746913580248
SE,REFERRAL,2014,1.49375
SE,WEB,2014,23.199011969286353
SSE,AD,2014,30.83773504273504
SSE,BULK,2014,274.3333333333333
SSE,EMAIL,2014,99.95
SSE,EMPLOYEE,2014,0.0
SSE,INSERT,2014,14.101134751773055
SSE,MAIL,2014,11.74230769230769
SSE,PARTNER,2014,39.955845160630616
SSE,REFERRAL,2014,38.79666666666667
SSE,WEB,2014,42.25580990126127
S,AD,2014,18.56403005464479
S,BULK,2014,0.0
S,CATALOG,2014,72.85714285714286
S,CONFERENCE,2014,0.0
S,EMAIL,2014,48.925000000000004
S,EMPLOYEE,2014,0.0
S,INSERT,2014,8.209367469879517
S,INTERNAL,2014,0.0
S,MAIL,2014,11.201935483870967
S,PARTNER,2014,49.751503578700294
S,REFERRAL,2014,15.014473684210525
S,WEB,2014,35.214376809437034
SSW,AD,2014,34.31193548387097
SSW,EMPLOYEE,2014,8.486666666666666
SSW,INSERT,2014,7.875
SSW,MAIL,2014,7.994285714285715
SSW,PARTNER,2014,36.534499999999994
SSW,REFERRAL,2014,39.53
SSW,WEB,2014,65.40053672316382
SW,AD,2014,21.423214285714288
SW,EMPLOYEE,2014,0.0
SW,INSERT,2014,9.350000000000001
SW,MAIL,2014,13.1125
SW,PARTNER,2014,30.795448717948716
SW,REFERRAL,2014,0.0
SW,WEB,2014,30.72908192090396
WSW,AD,2014,28.93949195447411
WSW,BULK,2014,0.0
WSW,CATALOG,2014,106.30833333333334
WSW,EMAIL,2014,21.71
WSW,EMPLOYEE,2014,31.5
WSW,INSERT,2014,14.122647462277094
WSW,MAIL,2014,7.949308510638298
WSW,PARTNER,2014,39.21512515591181
WSW,REFERRAL,2014,5.038076923076923
WSW,WEB,2014,50.23690978469925
W,AD,2014,30.996901143790875
W,BULK,2014,0.0
W,CATALOG,2014,74.2675
W,EMAIL,2014,330.95
W,EMPLOYEE,2014,7.0
W,INSERT,2014,10.6321692251462
W,MAIL,2014,2.1712359550561797
W,PARTNER,2014,38.95636902214252
W,REFERRAL,2014,15.131630434782608
W,WEB,2014,41.1870485021561
WNW,AD,2014,25.94723093820861
WNW,BULK,2014,5.1899999999999995
WNW,CATALOG,2014,71.98333333333333
WNW,EMAIL,2014,61.64
WNW,EMPLOYEE,2014,16.973333333333333
WNW,INSERT,2014,11.561612554112559
WNW,MAIL,2014,21.46434782608696
WNW,PARTNER,2014,29.83431821627254
WNW,REFERRAL,2014,14.983225806451614
WNW,WEB,2014,33.21231793488396
NW,AD,2014,1.8807692307692307
NW,CATALOG,2014,26.95
NW,EMAIL,2014,0.0
NW,INSERT,2014,6.75
NW,MAIL,2014,22.45
NW,PARTNER,2014,1.4933333333333332
NW,REFERRAL,2014,85.0
NW,WEB,2014,16.328346153846155
NNW,AD,2014,17.278217054263568
NNW,BULK,2014,0.0
NNW,CATALOG,2014,0.0
NNW,INSERT,2014,11.24375
NNW,MAIL,2014,1.325
NNW,PARTNER,2014,22.26155555555556
NNW,REFERRAL,2014,3.59
NNW,WEB,2014,34.6111892361111
N,AD,2015,30.202371399176947
N,CATALOG,2015,0.0
N,EMAIL,2015,0.0
N,EMPLOYEE,2015,12.22
N,INSERT,2015,1.289516129032258
N,INTERNAL,2015,36.94
N,MAIL,2015,13.891956521739132
N,PARTNER,2015,41.59290607654105
N,REFERRAL,2015,14.743749999999999
N,WEB,2015,33.37845152722442
NNE,AD,2015,10.230956651718985
NNE,BULK,2015,0.0
NNE,CATALOG,2015,0.0
NNE,EMAIL,2015,0.0
NNE,EMPLOYEE,2015,11.85
NNE,INSERT,2015,2.0524528301886793
NNE,MAIL,2015,38.00269230769231
NNE,PARTNER,2015,30.134915421819947
