Month,Year,Channel,TotalRevenue
6,2016,EMAIL,0.0
5,2011,EMAIL,0.0
1,2011,EMAIL,0.0
2,2010,EMAIL,0.0
8,2013,EMAIL,0.0
12,2015,EMAIL,481.2
8,2012,EMAIL,0.0
11,2014,EMAIL,88.9
1,2010,EMAIL,0.0
5,2016,EMAIL,208.7
11,2015,EMAIL,391.17999999999995
7,2014,EMAIL,3517.95
1,2014,EMAIL,0.0
12,2012,EMAIL,0.0
7,2015,EMAIL,0.0
5,2015,EMAIL,0.0
12,2011,EMAIL,0.0
6,2010,EMAIL,0.0
7,2013,EMAIL,0.0
1,2013,EMAIL,0.0
1,2015,EMAIL,42.9
7,2016,EMAIL,0.0
12,2014,EMAIL,1429.5500000000002
5,2014,EMAIL,1290.7500000000007
6,2011,EMAIL,0.0
12,2010,EMAIL,0.0
7,2012,EMAIL,0.0
1,2012,EMAIL,0.0
8,2010,EMAIL,0.0
5,2013,EMAIL,0.0
1,2016,EMAIL,0.0
6,2012,EMAIL,0.0
7,2011,EMAIL,0.0
8,2011,EMAIL,0.0
5,2012,EMAIL,0.0
12,2013,EMAIL,0.0
2,2011,EMAIL,0.0
5,2010,EMAIL,0.0
10,2012,EMAIL,0.0
10,2014,EMAIL,116.85
11,2012,EMAIL,0.0
8,2016,EMAIL,0.0
9,2013,EMAIL,0.0
10,2011,EMAIL,0.0
6,2015,EMAIL,340.0
3,2016,EMAIL,34.95
4,2014,EMAIL,1439.89
4,2013,EMAIL,0.0
9,2011,EMAIL,0.0
10,2010,EMAIL,0.0
2,2013,EMAIL,0.0
9,2014,EMAIL,420.0
4,2010,EMAIL,0.0
9,2010,EMAIL,0.0
11,2011,EMAIL,0.0
2,2016,EMAIL,178.6
10,2015,EMAIL,6.99
2,2014,EMAIL,0.0
4,2015,EMAIL,0.0
10,2013,EMAIL,0.0
9,2015,EMAIL,0.0
9,2016,EMAIL,0.0
8,2014,EMAIL,0.0
3,2013,EMAIL,0.0
4,2011,EMAIL,0.0
3,2012,EMAIL,0.0
2,2015,EMAIL,49.94
9,2012,EMAIL,0.0
3,2010,EMAIL,0.0
4,2016,EMAIL,64.9
11,2013,EMAIL,0.0
2,2012,EMAIL,0.0
11,2010,EMAIL,0.0
8,2015,EMAIL,0.0
3,2011,EMAIL,0.0
3,2014,EMAIL,0.0
4,2012,EMAIL,0.0
3,2015,EMAIL,0.0
10,2015,EMPLOYEE,274.39
2,2015,EMPLOYEE,443.63
9,2013,EMPLOYEE,552.1
7,2014,EMPLOYEE,289.69
4,2010,EMPLOYEE,331.5
2,2011,EMPLOYEE,504.47
10,2010,EMPLOYEE,72.67
5,2016,EMPLOYEE,1131.8
6,2015,EMPLOYEE,154.25
1,2013,EMPLOYEE,749.86
12,2014,EMPLOYEE,1358.4199999999998
7,2011,EMPLOYEE,85.51
6,2012,EMPLOYEE,55.25
3,2010,EMPLOYEE,165.75
3,2015,EMPLOYEE,289.35999999999996
1,2011,EMPLOYEE,739.4100000000001
1,2012,EMPLOYEE,243.03
12,2013,EMPLOYEE,969.74
9,2015,EMPLOYEE,287.74
7,2012,EMPLOYEE,0.0
10,2013,EMPLOYEE,131.9
6,2011,EMPLOYEE,224.46999999999997
10,2014,EMPLOYEE,1070.3
6,2013,EMPLOYEE,432.61
2,2016,EMPLOYEE,219.51999999999998
3,2016,EMPLOYEE,464.98999999999995
1,2014,EMPLOYEE,221.61
9,2014,EMPLOYEE,866.48
7,2013,EMPLOYEE,492.04
7,2010,EMPLOYEE,71.28
6,2010,EMPLOYEE,194.33999999999997
