support,itemsets,new_sets
0.006021420462958393,"frozenset({'FR-12820', 'BK-12009'})","['FR-12820', 'BK-12009']"
0.011598637777010019,"frozenset({'FR-12820', 'BK-12479'})","['FR-12820', 'BK-12479']"
0.006021420462958393,"frozenset({'BK-12490', 'FR-12820'})","['BK-12490', 'FR-12820']"
0.0072553180988105224,"frozenset({'BK-12491', 'FR-12820'})","['BK-12491', 'FR-12820']"
0.0066630472336015,"frozenset({'BK-12810', 'BK-13017'})","['BK-12810', 'BK-13017']"
0.0063669118009969895,"frozenset({'BK-12810', 'FR-12820'})","['BK-12810', 'FR-12820']"
0.005478505503183456,"frozenset({'FR-12820', 'BK-12822'})","['FR-12820', 'BK-12822']"
0.0066630472336015,"frozenset({'BK-13017', 'FR-12820'})","['BK-13017', 'FR-12820']"
0.006416267706431075,"frozenset({'BK-13099', 'FR-12820'})","['BK-13099', 'FR-12820']"
0.006761759044469671,"frozenset({'BK-13629', 'BK-13627'})","['BK-13629', 'BK-13627']"
0.0064656236118651594,"frozenset({'CA-12176', 'FR-12820'})","['CA-12176', 'FR-12820']"
0.013227382656334831,"frozenset({'FR-12820', 'FR-10956'})","['FR-12820', 'FR-10956']"
0.016139381076945857,"frozenset({'OC-12139', 'FR-10956'})","['OC-12139', 'FR-10956']"
0.022753072405113272,"frozenset({'FR-12506', 'FR-12820'})","['FR-12506', 'FR-12820']"
0.02018656532254084,"frozenset({'FR-12506', 'GA-12830'})","['FR-12506', 'GA-12830']"
0.09042001875524407,"frozenset({'FR-12819', 'FR-12820'})","['FR-12819', 'FR-12820']"
0.012536399980257637,"frozenset({'FR-12819', 'OC-12139'})","['FR-12819', 'OC-12139']"
0.006811114949903756,"frozenset({'FR-12819', 'OC-12851'})","['FR-12819', 'OC-12851']"
0.009575045654212527,"frozenset({'FR-12951', 'FR-12820'})","['FR-12951', 'FR-12820']"
0.12620305019495584,"frozenset({'FR-13190', 'FR-12820'})","['FR-13190', 'FR-12820']"
0.016040669266077685,"frozenset({'GA-11989', 'FR-12820'})","['GA-11989', 'FR-12820']"
0.006514979517299245,"frozenset({'GA-12170', 'FR-12820'})","['GA-12170', 'FR-12820']"
0.00952568974877844,"frozenset({'FR-12820', 'GA-12508'})","['FR-12820', 'GA-12508']"
0.013967721237846108,"frozenset({'GA-12803', 'FR-12820'})","['GA-12803', 'FR-12820']"
0.011647993682444105,"frozenset({'GA-12804', 'FR-12820'})","['GA-12804', 'FR-12820']"
0.005379793692315286,"frozenset({'GA-12811', 'FR-12820'})","['GA-12811', 'FR-12820']"
0.007600809436849119,"frozenset({'GA-12816', 'FR-12820'})","['GA-12816', 'FR-12820']"
0.021173683431222546,"frozenset({'GA-12830', 'FR-12820'})","['GA-12830', 'FR-12820']"
0.010907655100932827,"frozenset({'FR-12820', 'OC-11089'})","['FR-12820', 'OC-11089']"
0.010216672424855635,"frozenset({'OC-11093', 'FR-12820'})","['OC-11093', 'FR-12820']"
0.0072553180988105224,"frozenset({'FR-12820', 'OC-11107'})","['FR-12820', 'OC-11107']"
0.03296974482996891,"frozenset({'OC-12139', 'FR-12820'})","['OC-12139', 'FR-12820']"
0.01446128029218696,"frozenset({'OC-12174', 'FR-12820'})","['OC-12174', 'FR-12820']"
0.010315384235723804,"frozenset({'OC-12849', 'FR-12820'})","['OC-12849', 'FR-12820']"
0.021519174769261143,"frozenset({'OC-12851', 'FR-12820'})","['OC-12851', 'FR-12820']"
0.006021420462958393,"frozenset({'OC-13167', 'FR-12820'})","['OC-13167', 'FR-12820']"
0.015300330684566408,"frozenset({'OT-12823', 'FR-12820'})","['OT-12823', 'FR-12820']"
0.006514979517299245,"frozenset({'OT-12824', 'FR-12820'})","['OT-12824', 'FR-12820']"
0.009673757465080698,"frozenset({'OT-12823', 'FR-12951'})","['OT-12823', 'FR-12951']"
0.005972064557524308,"frozenset({'FR-13190', 'OC-11089'})","['FR-13190', 'OC-11089']"
0.007452741720546863,"frozenset({'FR-13190', 'OC-11093'})","['FR-13190', 'OC-11093']"
0.007699521247717289,"frozenset({'FR-13190', 'OC-12851'})","['FR-13190', 'OC-12851']"
0.005527861408617541,"frozenset({'OC-13167', 'FR-13190'})","['OC-13167', 'FR-13190']"
0.006120132273826563,"frozenset({'GA-12803', 'GA-11989'})","['GA-12803', 'GA-11989']"
0.0063669118009969895,"frozenset({'GA-12804', 'GA-11989'})","['GA-12804', 'GA-11989']"
0.0063669118009969895,"frozenset({'GA-12804', 'GA-12803'})","['GA-12804', 'GA-12803']"
0.006909826760771926,"frozenset({'OC-12174', 'OC-12139'})","['OC-12174', 'OC-12139']"
0.016139381076945857,"frozenset({'FR-13190', 'AP-13144', 'FR-12820'})","['FR-13190', 'AP-13144', 'FR-12820']"
0.013572873994373427,"frozenset({'BK-11197', 'AR-11052', 'BK-11196'})","['BK-11197', 'AR-11052', 'BK-11196']"
0.0053304377868812,"frozenset({'FR-13190', 'AR-12826', 'FR-12820'})","['FR-13190', 'AR-12826', 'FR-12820']"
0.005675929124919796,"frozenset({'BK-10940', 'BK-10943', 'BK-10928'})","['BK-10940', 'BK-10943', 'BK-10928']"
0.00819308030205814,"frozenset({'BK-10939', 'BK-10943', 'BK-10940'})","['BK-10939', 'BK-10943', 'BK-10940']"
0.006218844084694734,"frozenset({'FR-13190', 'FR-12820', 'BK-12005'})","['FR-13190', 'FR-12820', 'BK-12005']"
0.019347514930161396,"frozenset({'GA-12830', 'FR-12506', 'FR-12820'})","['GA-12830', 'FR-12506', 'FR-12820']"
0.012487044074823553,"frozenset({'FR-12819', 'OC-12139', 'FR-12820'})","['FR-12819', 'OC-12139', 'FR-12820']"
0.006761759044469671,"frozenset({'OC-12851', 'FR-12819', 'FR-12820'})","['OC-12851', 'FR-12819', 'FR-12820']"
0.009575045654212527,"frozenset({'OT-12823', 'FR-12951', 'FR-12820'})","['OT-12823', 'FR-12951', 'FR-12820']"
0.005873352746656137,"frozenset({'FR-13190', 'FR-12820', 'OC-11089'})","['FR-13190', 'FR-12820', 'OC-11089']"
0.006909826760771926,"frozenset({'FR-13190', 'OC-11093', 'FR-12820'})","['FR-13190', 'OC-11093', 'FR-12820']"
0.007600809436849119,"frozenset({'FR-13190', 'FR-12820', 'OC-12851'})","['FR-13190', 'FR-12820', 'OC-12851']"
0.005281081881447115,"frozenset({'OC-13167', 'FR-13190', 'FR-12820'})","['OC-13167', 'FR-13190', 'FR-12820']"
0.00523172597601303,"frozenset({'GA-11989', 'GA-12803', 'FR-12820'})","['GA-11989', 'GA-12803', 'FR-12820']"
0.005626573219485712,"frozenset({'GA-12804', 'GA-11989', 'FR-12820'})","['GA-12804', 'GA-11989', 'FR-12820']"
