polar,channel,orderyear,totalprice
NE,WEB,2015,76.86819688365577
NE,WEB,2016,89.05652901536631
ENE,AD,2010,36.32479855686938
ENE,AD,2011,41.4324495561027
ENE,AD,2012,54.29557949042934
ENE,AD,2013,71.42967108856915
ENE,AD,2014,69.85833908080393
ENE,AD,2015,68.67326458734293
ENE,AD,2016,80.24309521619013
ENE,BULK,2010,18.4075
ENE,BULK,2011,6.806995884773663
ENE,BULK,2012,18.62777777777778
ENE,BULK,2013,24.038439339554916
ENE,BULK,2014,428.3438548613549
ENE,BULK,2015,197.7509645050808
ENE,BULK,2016,734.9249208860759
ENE,CATALOG,2014,69.60300170068031
ENE,CATALOG,2015,94.25000000000001
ENE,CATALOG,2016,112.00416666666666
ENE,EMAIL,2014,87.16444444444443
ENE,EMAIL,2015,64.28
ENE,EMAIL,2016,65.54166666666667
ENE,EMPLOYEE,2010,55.10173611111111
ENE,EMPLOYEE,2011,77.75482334869433
ENE,EMPLOYEE,2012,64.12366
ENE,EMPLOYEE,2013,96.84137820512821
ENE,EMPLOYEE,2014,52.675137254901955
ENE,EMPLOYEE,2015,108.84021000000001
ENE,EMPLOYEE,2016,57.131870629370624
ENE,INSERT,2011,29.84239710157567
ENE,INSERT,2012,17.714000000000002
ENE,INSERT,2013,19.20839442707493
ENE,INSERT,2014,24.29150027281388
ENE,INSERT,2015,79.52550000000002
ENE,INTERNAL,2015,110.39371428571428
ENE,INTERNAL,2016,43.075
ENE,MAIL,2010,105.03320312499994
ENE,MAIL,2011,188.09714285714287
ENE,MAIL,2012,20.25
ENE,MAIL,2014,58.78108333333331
ENE,MAIL,2015,33.536859903381576
ENE,MAIL,2016,18.809198966408267
ENE,PARTNER,2010,56.74715258608778
ENE,PARTNER,2011,49.19173062886563
ENE,PARTNER,2012,63.602682928010374
ENE,PARTNER,2013,69.25531374628628
ENE,PARTNER,2014,74.188764866516
ENE,PARTNER,2015,74.4160975591923
ENE,PARTNER,2016,105.56166700565916
ENE,REFERRAL,2010,28.87647940074906
ENE,REFERRAL,2011,28.900069444444455
ENE,REFERRAL,2012,49.54440000000002
ENE,REFERRAL,2013,89.02295977011494
ENE,REFERRAL,2014,59.43880861504897
ENE,REFERRAL,2015,58.21270654396729
ENE,REFERRAL,2016,85.94022727272728
ENE,SURVEY,2016,23.96
ENE,WEB,2010,42.74792792792793
ENE,WEB,2011,67.93488474848968
ENE,WEB,2012,64.45124033434142
ENE,WEB,2013,74.7664778075139
ENE,WEB,2014,82.70733604845172
ENE,WEB,2015,101.59241060920249
ENE,WEB,2016,127.15214988972838
E,AD,2010,38.45427960526313
