antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"['FR-12820', 'FR-12507']",['AP-12510'],0.004442031489067667,0.009723113370514782,0.004442031489067667,1.0,102.84771573604061,0.0043988411133040655,inf
"['FR-12507', 'AP-12510']",['FR-12820'],0.004639455110804008,0.40881496471052764,0.004442031489067667,0.9574468085106383,2.3420052863979284,0.00254535281166825,13.892848329302616
['FR-12507'],"['FR-12820', 'AP-12510']",0.004639455110804008,0.0071566062879423525,0.004442031489067667,0.9574468085106383,133.78503301540718,0.004408828735449061,23.331819752233383
"['AP-13144', 'FR-12820']",['FR-13190'],0.016238092887814026,0.13044765806228714,0.016139381076945857,0.993920972644377,7.619308674516732,0.014021159888332637,143.04136024875507
"['AP-13144', 'FR-13190']",['FR-12820'],0.016139381076945857,0.40881496471052764,0.016139381076945857,1.0,2.4460944102378366,0.00954136057152448,inf
['AP-13144'],"['FR-12820', 'FR-13190']",0.016534228320418537,0.12620305019495584,0.016139381076945857,0.9761194029850747,7.7345151442630415,0.014052711030289216,36.590247273086355
"['BK-11196', 'AR-11052']",['BK-11197'],0.013622229899807513,0.024135037757267656,0.013572873994373427,0.9963768115942028,41.28341631842565,0.013244100961403393,269.33872957898467
"['BK-11197', 'AR-11052']",['BK-11196'],0.014559992103055131,0.025467647203987958,0.013572873994373427,0.9322033898305084,36.60343581658126,0.013202065252199968,14.374352203741168
"['OC-11092', 'AR-11064']",['AR-11067'],0.00513301416514486,0.010019248803119293,0.004984946448842604,0.9711538461538461,96.92880826070481,0.004933517502812082,34.31933270815852
"['OC-11092', 'AR-11067']",['AR-11064'],0.00513301416514486,0.010858299195498742,0.004984946448842604,0.9711538461538461,89.43885489510488,0.0049292106452627285,34.29024562788937
"['FR-13190', 'AR-12825']",['FR-12820'],0.0035536251912541336,0.40881496471052764,0.003454913380385963,0.9722222222222222,2.3781473432867855,0.0020021382232289628,21.282661270420995
"['FR-12819', 'AR-12826']",['FR-12820'],0.0032574897586496224,0.40881496471052764,0.003158777947781452,0.9696969696969697,2.3719703372003265,0.0018270673870542016,19.509106164552602
"['FR-13190', 'AR-12826']",['FR-12820'],0.005478505503183456,0.40881496471052764,0.0053304377868812,0.972972972972973,2.3799837505016788,0.0030907427529308245,21.87384630571052
"['BK-10939', 'BK-10928']",['BK-10940'],0.005379793692315286,0.018113617294309263,0.004392675583633582,0.8165137614678899,45.07734419918506,0.004295228059568644,5.351280785746014
"['BK-10939', 'BK-10928']",['BK-10943'],0.005379793692315286,0.01786683776713884,0.004639455110804008,0.8623853211009175,48.267372902833394,0.004543335209682734,7.13683431222546
"['BK-10940', 'BK-10928']",['BK-10943'],0.007008538571640097,0.01786683776713884,0.005675929124919796,0.8098591549295774,45.32750369621041,0.005550708703275568,5.165292927298749
"['BK-10943', 'BK-10928']",['BK-10940'],0.007057894477074182,0.018113617294309263,0.005675929124919796,0.8041958041958042,44.397305691583625,0.005548085125458456,5.014634025961206
"['BK-10939', 'BK-10940']",['BK-10943'],0.009575045654212527,0.01786683776713884,0.00819308030205814,0.8556701030927835,47.89152474796377,0.008022004514741377,6.804779766899108
"['BK-11987', 'BK-11985']",['BK-11988'],0.005725285030353882,0.011203790533537338,0.004984946448842604,0.8706896551724138,77.71384627069726,0.004920801554617722,7.646690686540645
"['BK-11985', 'BK-11988']",['BK-11987'],0.005281081881447115,0.010414096046591974,0.004984946448842604,0.9439252336448599,90.63919032643842,0.0049299487548992976,17.647615287169142
"['FR-12819', 'BK-12005']",['FR-12820'],0.003109422042347367,0.40881496471052764,0.0030107102314791967,0.9682539682539683,2.3684406194366354,0.001739531968966821,18.62232861161838
"['BK-12005', 'FR-13190']",['FR-12820'],0.006268199990128819,0.40881496471052764,0.006218844084694734,0.9921259842519686,2.426833824330452,0.0036563101269316916,75.08049948176418
"['BK-13099', 'FR-13190']",['FR-12820'],0.004442031489067667,0.40881496471052764,0.0043433196781994966,0.9777777777777776,2.391736756676995,0.0025273507317532455,26.603326588026082
"['GA-12010', 'FR-12820']",['FR-12506'],0.003602981096688219,0.023641478702926804,0.0035536251912541336,0.9863013698630136,41.719106586209854,0.003468445390389731,71.27417205468606
"['GA-12010', 'FR-12506']",['FR-12820'],0.003602981096688219,0.40881496471052764,0.0035536251912541336,0.9863013698630136,2.4125862676318386,0.002080672601358841,43.156507576131304
"['FR-12820', 'GA-12830']",['FR-12506'],0.021173683431222546,0.023641478702926804,0.019347514930161396,0.9137529137529138,38.65041291346093,0.018846937744259634,11.320481233417421
"['FR-12820', 'FR-12506']",['GA-12830'],0.022753072405113272,0.025072799960515275,0.019347514930161396,0.8503253796095446,33.91425692178934,0.01877703169726087,6.5136440466406205
"['GA-12830', 'FR-12506']",['FR-12820'],0.02018656532254084,0.40881496471052764,0.019347514930161396,0.958435207823961,2.34442300443333,0.0110949449402001,14.223216437258511
['FR-12506'],"['FR-12820', 'GA-12830']",0.023641478702926804,0.021173683431222546,0.019347514930161396,0.8183716075156577,38.65041291346093,0.018846937744259634,5.38917017972925
"['FR-12819', 'OC-12139']",['FR-12820'],0.012536399980257637,0.40881496471052764,0.012487044074823553,0.9960629921259843,2.436464117284144,0.007361976159297468,150.16099896352623
"['FR-12819', 'OC-12174']",['FR-12820'],0.004442031489067667,0.40881496471052764,0.0043433196781994966,0.9777777777777776,2.391736756676995,0.0025273507317532455,26.603326588026082
"['OC-12849', 'FR-12819']",['FR-12820'],0.0030600661369132817,0.40881496471052764,0.0030600661369132817,1.0,2.4460944102378366,0.0018090653071391979,inf
"['FR-12819', 'OC-12851']",['FR-12820'],0.006811114949903756,0.40881496471052764,0.006761759044469671,0.9927536231884058,2.428369088424519,0.00397727332658542,81.58353486994682
"['FR-12819', 'OT-12823']",['FR-12820'],0.004442031489067667,0.40881496471052764,0.004442031489067667,1.0,2.4460944102378366,0.0026260625426214163,inf
"['FR-12820', 'FR-12951']",['OT-12823'],0.009575045654212527,0.01969300626819999,0.009575045654212527,1.0,50.77944862155389,0.009386484220125819,inf
"['FR-12951', 'OT-12823']",['FR-12820'],0.009673757465080698,0.40881496471052764,0.009575045654212527,0.9897959183673469,2.421134263194593,0.005620268837507358,57.936133458368225
['FR-12951'],"['FR-12820', 'OT-12823']",0.009673757465080698,0.015300330684566408,0.009575045654212527,0.9897959183673469,64.69114549045425,0.0094270339660345,96.50056759291239
"['OC-11089', 'FR-13190']",['FR-12820'],0.005972064557524308,0.40881496471052764,0.005873352746656137,0.9834710743801652,2.4056630976719218,0.0034318833853228445,35.76669463501295
"['FR-13190', 'OC-11093']",['FR-12820'],0.007452741720546863,0.40881496471052764,0.006909826760771926,0.9271523178807948,2.2679021022072656,0.0038630344172898836,8.115358211700945
"['OC-12139', 'FR-13190']",['FR-12820'],0.004688811016238093,0.40881496471052764,0.004590099205369923,0.9789473684210527,2.394597685811777,0.0026732430952322137,28.081289176249996
"['FR-13190', 'OC-12851']",['FR-12820'],0.007699521247717289,0.40881496471052764,0.007600809436849119,0.9871794871794872,2.4147342254911974,0.004453129929675618,46.112432752579004
"['OC-13167', 'FR-12820']",['FR-13190'],0.006021420462958393,0.13044765806228714,0.005281081881447115,0.8770491803278687,6.723380038828206,0.004495601683845859,7.072359047760057
"['OC-13167', 'FR-13190']",['FR-12820'],0.005527861408617541,0.40881496471052764,0.005281081881447115,0.9553571428571428,2.336893766923647,0.003021209414758447,13.24254479048416
"['GA-11989', 'GA-12803']",['FR-12820'],0.006120132273826563,0.40881496471052764,0.00523172597601303,0.8548387096774194,2.09101618939686,0.0027297243164648628,4.072608020883032
"['GA-11989', 'GA-12804']",['FR-12820'],0.0063669118009969895,0.40881496471052764,0.005626573219485712,0.8837209302325582,2.1616648276520416,0.003023684396246086,5.084191303489463
"['OC-11072', 'OC-11074']",['OC-11070'],0.004195251961897241,0.006416267706431075,0.003602981096688219,0.8588235294117648,133.85095022624435,0.003576063237004756,7.0378847704127825
"['OC-11072', 'OC-11070']",['OC-11074'],0.0038497606238586447,0.005972064557524308,0.003602981096688219,0.9358974358974359,156.71254503072686,0.0035799900777115203,15.506835792902622
"['OC-11074', 'OC-11070']",['OC-11072'],0.003948472434726815,0.006909826760771926,0.003602981096688219,0.9125000000000001,132.05830357142858,0.0035756978361945733,11.349601979876905
"['BK-10939', 'BK-10943', 'BK-10928']",['BK-10940'],0.004639455110804008,0.018113617294309263,0.00389911652929273,0.8404255319148936,46.39744333004812,0.003815079214961499,6.153154664955659
"['BK-10939', 'BK-10928', 'BK-10940']",['BK-10943'],0.004392675583633582,0.01786683776713884,0.00389911652929273,0.8876404494382023,49.68089266869452,0.003820633307276277,8.74098514387247
